date,country,region,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021-07-01,Spain,Baleares,3190,,
2021-07-01,Spain,Canarias,7330,,
2021-07-01,Spain,Cantabria,1564,,
2021-07-01,Spain,Castilla y Leon,22103,,
2021-07-01,Spain,Castilla La Mancha,7666,,
2021-07-01,Spain,Cataluña,24515,,
2021-07-01,Spain,C. Valenciana,11677,,
2021-07-01,Spain,Extremadura,3309,,
2021-07-01,Spain,Galicia,20265,,
2021-07-01,Spain,La Rioja,858,,
2021-07-01,Spain,Madrid,11337,,
2021-07-01,Spain,Murcia,7287,,
2021-07-01,Spain,Navarra,2960,,
2021-07-01,Spain,País Vasco,7734,,
2021-07-01,Spain,Ceuta,576,,
2021-07-01,Spain,Melilla,426,,
2021-07-01,Spain,Totales,207323,,
2021-08-01,Spain,Andalucía,69445,,
2021-08-01,Spain,Aragón,9944,,
2021-08-01,Spain,Asturias,17843,,
2021-08-01,Spain,Baleares,4257,,
2021-08-01,Spain,Canarias,9572,,
2021-08-01,Spain,Cantabria,2334,,
2021-08-01,Spain,Castilla y Leon,28325,,
2021-08-01,Spain,Castilla La Mancha,12380,,
2021-08-01,Spain,Cataluña,38826,,
2021-08-01,Spain,C. Valenciana,15965,,
2021-08-01,Spain,Extremadura,4727,,
2021-08-01,Spain,Galicia,24750,,
2021-08-01,Spain,La Rioja,1674,,
2021-08-01,Spain,Madrid,14152,,
2021-08-01,Spain,Murcia,8958,,
2021-08-01,Spain,Navarra,3703,,
2021-08-01,Spain,País Vasco,9811,,
2021-08-01,Spain,Ceuta,637,,
2021-08-01,Spain,Melilla,673,,
2021-08-01,Spain,Totales,277976,,
2021-11-01,Spain,Andalucía,81387,,
2021-11-01,Spain,Aragón,10998,,
2021-11-01,Spain,Asturias,18943,,
2021-11-01,Spain,Baleares,4652,,
2021-11-01,Spain,Canarias,13607,,
2021-11-01,Spain,Cantabria,8474,,
2021-11-01,Spain,Castilla y Leon,36205,,
2021-11-01,Spain,Castilla La Mancha,19209,,
2021-11-01,Spain,Cataluña,68405,,
2021-11-01,Spain,C. Valenciana,45674,,
2021-11-01,Spain,Extremadura,9303,,
2021-11-01,Spain,Galicia,30418,,
2021-11-01,Spain,La Rioja,3457,,
2021-11-01,Spain,Madrid,24897,,
2021-11-01,Spain,Murcia,10361,,
2021-11-01,Spain,Navarra,5468,,
2021-11-01,Spain,País Vasco,13103,,
2021-11-01,Spain,Ceuta,698,,
2021-11-01,Spain,Melilla,832,,
2021-11-01,Spain,Totales,406091,,
2021-12-01,Spain,Andalucía,94879,,
2021-12-01,Spain,Aragón,11983,,
2021-12-01,Spain,Asturias,22428,,
2021-12-01,Spain,Baleares,4835,,
2021-12-01,Spain,Canarias,15328,,
2021-12-01,Spain,Cantabria,9527,,
2021-12-01,Spain,Castilla y Leon,41340,,
2021-12-01,Spain,Castilla La Mancha,23342,,
2021-12-01,Spain,Cataluña,82785,,
2021-12-01,Spain,C. Valenciana,57223,,
2021-12-01,Spain,Extremadura,11346,,
2021-12-01,Spain,Galicia,33346,,
2021-12-01,Spain,La Rioja,3826,,
2021-12-01,Spain,Madrid,35949,,
2021-12-01,Spain,Murcia,16191,,
2021-12-01,Spain,Navarra,6557,,
2021-12-01,Spain,País Vasco,15393,,
2021-12-01,Spain,Ceuta,758,,
2021-12-01,Spain,Melilla,1005,,
2021-12-01,Spain,Totales,488041,,
2021-01-13,Spain,Andalucía,109831,,
2021-01-13,Spain,Aragón,17043,,
2021-01-13,Spain,Asturias,25278,,
2021-01-13,Spain,Baleares,4931,,
2021-01-13,Spain,Canarias,22290,,
2021-01-13,Spain,Cantabria,11302,,
2021-01-13,Spain,Castilla y Leon,48243,,
2021-01-13,Spain,Castilla La Mancha,26879,,
2021-01-13,Spain,Cataluña,92133,,
2021-01-13,Spain,C. Valenciana,70870,,
2021-01-13,Spain,Extremadura,14293,,
2021-01-13,Spain,Galicia,37745,,
2021-01-13,Spain,La Rioja,4651,,
2021-01-13,Spain,Madrid,49228,,
2021-01-13,Spain,Murcia,19905,,
2021-01-13,Spain,Navarra,7420,,
2021-01-13,Spain,País Vasco,17771,,
2021-01-13,Spain,Ceuta,820,,
2021-01-13,Spain,Melilla,1005,,
2021-01-13,Spain,Totales,581638,,
2021-01-14,Spain,Andalucía,123459,,
2021-01-14,Spain,Aragón,20854,,
2021-01-14,Spain,Asturias,29074,,
2021-01-14,Spain,Baleares,7552,,
2021-01-14,Spain,Canarias,25159,,
2021-01-14,Spain,Cantabria,12779,,
2021-01-14,Spain,Castilla y Leon,57969,,
2021-01-14,Spain,Castilla La Mancha,30613,,
2021-01-14,Spain,Cataluña,105587,,
2021-01-14,Spain,C. Valenciana,80429,,
2021-01-14,Spain,Extremadura,17862,,
2021-01-14,Spain,Galicia,44014,,
2021-01-14,Spain,La Rioja,5385,,
2021-01-14,Spain,Madrid,63385,,
2021-01-14,Spain,Murcia,21739,,
2021-01-14,Spain,Navarra,8314,,
2021-01-14,Spain,País Vasco,20003,,
2021-01-14,Spain,Ceuta,911,,
2021-01-14,Spain,Melilla,1098,,
2021-01-14,Spain,Totales,676186,,
2021-01-15,Spain,Andalucía,139718,,
2021-01-15,Spain,Aragón,23619,,
2021-01-15,Spain,Asturias,31247,,
2021-01-15,Spain,Baleares,9366,,
2021-01-15,Spain,Canarias,30732,,
2021-01-15,Spain,Cantabria,14639,,
2021-01-15,Spain,Castilla y Leon,59411,,
2021-01-15,Spain,Castilla La Mancha,33809,,
2021-01-15,Spain,Cataluña,122577,,
2021-01-15,Spain,C. Valenciana,86927,,
2021-01-15,Spain,Extremadura,22322,,
2021-01-15,Spain,Galicia,49768,,
2021-01-15,Spain,La Rioja,5953,,
2021-01-15,Spain,Madrid,77921,,
2021-01-15,Spain,Murcia,27001,,
2021-01-15,Spain,Navarra,9305,,
2021-01-15,Spain,País Vasco,22464,,
2021-01-15,Spain,Ceuta,941,,
2021-01-15,Spain,Melilla,1230,,
2021-01-15,Spain,Totales,768950,,
