region_iso,date,population
US-PA,2021-02-13,12802503
US-PA,2021-02-20,12802503
US-PA,2021-02-12,12802503
US-PA,2021-02-14,12802503
US-PA,2021-02-06,12802503
US-PR,2021-02-14,3193694
US-PR,2021-02-20,3193694
US-PR,2021-02-13,3193694
US-PR,2021-02-23,3193694
US-PR,2021-02-24,3193694
US-PR,2021-02-12,3193694
US-RI,2021-02-23,1056298
US-RI,2021-02-06,1056298
US-RI,2021-02-13,1056298
US-RI,2021-02-12,1056298
US-RI,2021-02-14,1056298
US-RI,2021-02-24,1056298
US-RI,2021-02-20,1056298
US-SC,2021-02-12,4896146
US-SC,2021-02-14,4896146
US-SC,2021-02-13,4896146
US-SC,2021-02-24,4896146
US-SC,2021-02-06,4896146
US-SC,2021-02-23,4896146
US-SC,2021-02-20,4896146
US-SD,2021-02-14,858469
US-SD,2021-02-13,858469
US-SD,2021-02-06,858469
US-SD,2021-02-23,858469
US-SD,2021-02-24,858469
US-SD,2021-02-12,858469
US-SD,2021-02-20,858469
US-TN,2021-02-24,6600299
US-TN,2021-02-12,6600299
US-TN,2021-02-20,6600299
US-TN,2021-02-13,6600299
US-TN,2021-02-23,6600299
US-TN,2021-02-14,6600299
US-TN,2021-02-06,6600299
US-TX,2021-02-14,28995881
US-TX,2021-02-20,28995881
US-TX,2021-02-13,28995881
US-TX,2021-02-24,28995881
US-TX,2021-02-06,28995881
US-TX,2021-02-12,28995881
US-TX,2021-02-23,28995881
US-UT,2021-02-13,2995919
US-UT,2021-02-12,2995919
US-UT,2021-02-23,2995919
US-UT,2021-02-06,2995919
US-UT,2021-02-14,2995919
US-UT,2021-02-24,2995919
US-UT,2021-02-20,2995919
US-VA,2021-02-24,8382993
US-VA,2021-02-12,8382993
US-VA,2021-02-23,8382993
US-VA,2021-02-20,8382993
US-VA,2021-02-06,8382993
US-VA,2021-02-13,8382993
US-VA,2021-02-14,8382993
US-VI,2021-02-06,106235
US-VI,2021-02-23,106235
US-VI,2021-02-20,106235
US-VI,2021-02-13,106235
US-VI,2021-02-14,106235
US-VI,2021-02-24,106235
US-VI,2021-02-12,106235
US-VT,2021-02-24,626042
US-VT,2021-02-06,626042
US-VT,2021-02-23,626042
US-VT,2021-02-20,626042
US-VT,2021-02-14,626042
US-VT,2021-02-13,626042
US-VT,2021-02-12,626042
US-WA,2021-02-24,7170351
US-WA,2021-02-23,7170351
US-WA,2021-02-20,7170351
US-WA,2021-02-14,7170351
US-WA,2021-02-06,7170351
US-WA,2021-02-12,7170351
US-WA,2021-02-13,7170351
US-WI,2021-02-14,5771337
US-WI,2021-02-12,5771337
US-WI,2021-02-23,5771337
US-WI,2021-02-20,5771337
US-WI,2021-02-24,5771337
US-WI,2021-02-13,5771337
US-WI,2021-02-06,5771337
US-WV,2021-02-14,1844128
US-WV,2021-02-23,1844128
US-WV,2021-02-13,1844128
US-WV,2021-02-06,1844128
US-WV,2021-02-20,1844128
US-WV,2021-02-12,1844128
US-WV,2021-02-24,1844128
US-WY,2021-02-20,586107
US-WY,2021-02-23,586107
US-WY,2021-02-14,586107
US-WY,2021-02-13,586107
US-WY,2021-02-06,586107
US-WY,2021-02-24,586107
US-WY,2021-02-12,586107
