region_iso,date,population
BR-PI,2021-02-24,3219257
BR-PR,2021-02-20,11320892
BR-PR,2021-02-24,11320892
BR-PR,2021-02-13,11320892
BR-PR,2021-02-12,11320892
BR-PR,2021-02-23,11320892
BR-PR,2021-02-14,11320892
BR-PR,2021-02-06,11320892
BR-RJ,2021-02-24,16718956
BR-RJ,2021-02-12,16718956
BR-RJ,2021-02-14,16718956
BR-RJ,2021-02-23,16718956
BR-RJ,2021-02-20,16718956
BR-RJ,2021-02-13,16718956
BR-RJ,2021-02-06,16718956
BR-RN,2021-02-23,3507003
BR-RN,2021-02-24,3507003
BR-RN,2021-02-14,3507003
BR-RN,2021-02-12,3507003
BR-RN,2021-02-13,3507003
BR-RN,2021-02-06,3507003
BR-RN,2021-02-20,3507003
BR-RO,2021-02-23,1590011
BR-RO,2021-02-13,1590011
BR-RO,2021-02-12,1590011
BR-RO,2021-02-24,1590011
BR-RO,2021-02-06,1590011
BR-RO,2021-02-20,1590011
BR-RO,2021-02-14,1590011
